"period_year","period_number","kod_zl","reg_num","zp"
2017,12,"176668659","037161180376",7000.0
2017,11,"176668659","037161180376",7000.0
2017,10,"176668659","037161180376",7000.0
2017,4,"543835681","037161180376",7000.0
2017,5,"543835681","037161180376",7000.0
2017,6,"543835681","037161180376",7000.0
2017,8,"543835681","037161180376",7000.0
2017,7,"543835681","037161180376",7000.0
2017,9,"543835681","037161180376",7000.0
2017,1,"543835681","037161180376",7000.0
2017,3,"543835681","037161180376",7000.0
2017,2,"543835681","037161180376",7000.0
2017,12,"518015603","083531583285",13131.78
2017,11,"518015603","083531583285",3085.71
2017,6,"474286204","083531583285",12528.64
2017,5,"474286204","083531583285",11057.92
2017,4,"474286204","083531583285",15240.26
2017,3,"474286204","083531583285",18520.64
2017,2,"474286204","083531583285",19911.36
2017,1,"474286204","083531583285",14527.94
2017,1,"57921606","083531583285",9680.0
2017,2,"57921606","083531583285",9680.0
2017,3,"57921606","083531583285",9680.0
2017,1,"534175006","083531583285",13800.0
2017,3,"534175006","083531583285",13800.0
2017,2,"534175006","083531583285",13800.0
2017,5,"534175006","083531583285",13800.0
2017,4,"534175006","083531583285",13800.0
2017,10,"57921606","083531583285",9680.0
2017,12,"57921606","083531583285",8729.39
2017,11,"57921606","083531583285",9680.0
2017,6,"57921606","083531583285",9680.0
2017,5,"57921606","083531583285",9680.0
2017,4,"57921606","083531583285",9680.0
2017,8,"57921606","083531583285",11119.21
2017,7,"57921606","083531583285",9680.0
2017,9,"57921606","083531583285",8758.1
2017,6,"21830006","083531583285",9100.0
2017,4,"21830006","083531583285",17250.0
2017,5,"21830006","083531583285",12100.0
2017,3,"262872808","083531583285",2696.1
2017,1,"262872808","083531583285",18750.01
2017,4,"262872808","083531583285",39007.69
2017,1,"837582209","083531583285",19944.32
2017,3,"837582209","083531583285",24218.24
2017,2,"837582209","083531583285",21370.56
2017,2,"162645209","083531583285",14856.96
2017,1,"162645209","083531583285",25643.52
2017,3,"162645209","083531583285",23914.56
2017,7,"837582209","083531583285",57416.38
2017,5,"162645209","083531583285",22794.24
2017,6,"162645209","083531583285",12572.98
2017,4,"162645209","083531583285",17976.88
2017,5,"419727809","083531583285",21000.0
2017,6,"419727809","083531583285",21000.0
2017,4,"419727809","083531583285",21000.0
2017,12,"837582209","083531583285",18969.41
2017,10,"837582209","083531583285",40810.42
2017,11,"837582209","083531583285",48091.2
2017,1,"419727809","083531583285",21000.0
2017,2,"419727809","083531583285",21000.0
2017,3,"419727809","083531583285",21000.0
2017,7,"419727809","083531583285",21000.0
2017,9,"419727809","083531583285",31068.15
2017,8,"419727809","083531583285",21000.0
2017,8,"837582209","083531583285",14918.02
